PDBsource,Smiles,rmvDumSmiles,ECscore,posResidues,negResidues
6SCM_L7H_A,[5*]c1nc(N([H])[C@]([10*])([H])C([H])([H])[H])c2c([H])c(O[15*])c(OC([H])([H])[H])c([H])c2n1,[H]Oc1c(OC([H])([H])[H])c([H])c2nc([H])nc(N([H])C([H])([H])C([H])([H])[H])c2c1[H],-3.159681059099895,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[5*]c1nc(N([H])[C@]([10*])([H])C([H])([H])[H])c2c([H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([31*])c([H])c2n1,[H]c1nc(N([H])C([H])([H])C([H])([H])[H])c2c([H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c([H])c2n1,-4.124829086905489,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[5*]c1nc(N([H])[C@]([10*])([H])C([H])([H])[H])c2c([H])c([30*])c(OC([H])([H])[H])c([H])c2n1,[H]c1nc(N([H])C([H])([H])C([H])([H])[H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2n1,-2.8195657199203707,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[6*]Oc1c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c(N([H])[C@@]([10*])([18*])[H])nc(C([H])([H])[H])nc2c1[H],[H]Oc1c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c(N([H])C([H])([H])[H])nc(C([H])([H])[H])nc2c1[H],-3.0152392256924654,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[6*]Oc1c(O[15*])c([H])c2c(N([H])[C@]([10*])([H])C([H])([H])[H])nc(C([H])([H])[H])nc2c1[H],[H]Oc1c(O[H])c([H])c2c(N([H])C([H])([H])C([H])([H])[H])nc(C([H])([H])[H])nc2c1[H],-4.231646004419608,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[6*]Oc1c([30*])c([H])c2c(N([H])[C@]([10*])([H])C([H])([H])[H])nc(C([H])([H])[H])nc2c1[H],[H]Oc1c([H])c([H])c2c(N([H])C([H])([H])C([H])([H])[H])nc(C([H])([H])[H])nc2c1[H],-3.8915306652400834,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[10*][C@]([18*])([H])N([H])c1nc(C([H])([H])[H])nc2c([H])c(OC([H])([H])[H])c(O[15*])c([H])c12,[H]Oc1c(OC([H])([H])[H])c([H])c2nc(C([H])([H])[H])nc(N([H])C([H])([H])[H])c2c1[H],-1.6311743134941805,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[10*][C@]([18*])([H])N([H])c1nc(C([H])([H])[H])nc2c([H])c([31*])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c12,[H]c1c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c(N([H])C([H])([H])[H])nc(C([H])([H])[H])nc2c1[H],-2.5963223412997745,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[10*][C@]([18*])([H])N([H])c1nc(C([H])([H])[H])nc2c([H])c(OC([H])([H])[H])c([30*])c([H])c12,[H]c1c(OC([H])([H])[H])c([H])c2nc(C([H])([H])[H])nc(N([H])C([H])([H])[H])c2c1[H],-1.2910589743146557,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[10*][C@]([H])(N([H])c1nc(C([H])([H])[H])nc2c([H])c([31*])c(O[15*])c([H])c12)C([H])([H])[H],[H]Oc1c([H])c([H])c2nc(C([H])([H])[H])nc(N([H])C([H])([H])C([H])([H])[H])c2c1[H],-3.812729120026917,TYR36,"TRP35,TYR36"
